iter	Passed	Remaining
0	13	2692
1	29	2924
2	42	2764
3	54	2656
4	67	2618
5	79	2585
6	93	2576
7	106	2554
8	120	2549
9	133	2544
10	146	2518
11	159	2497
12	172	2485
13	185	2461
14	197	2439
15	209	2412
16	222	2390
17	234	2372
18	246	2350
19	259	2333
20	275	2345
21	293	2374
22	316	2433
23	329	2417
24	342	2395
25	354	2373
26	366	2350
27	378	2326
28	390	2303
29	402	2279
30	414	2262
31	427	2245
32	440	2226
33	452	2207
34	463	2185
35	476	2170
36	488	2154
37	501	2137
38	513	2121
39	526	2105
40	537	2084
41	549	2066
42	560	2047
43	571	2027
44	583	2010
45	595	1994
46	607	1978
47	619	1962
48	632	1948
49	645	1935
50	657	1922
51	670	1908
52	684	1897
53	697	1884
54	710	1873
55	722	1858
56	735	1845
57	747	1829
58	758	1813
59	771	1800
60	784	1787
61	796	1773
62	810	1761
63	822	1748
64	835	1734
65	847	1719
66	859	1705
67	872	1692
68	883	1678
69	896	1664
70	908	1650
71	920	1636
72	932	1622
73	944	1607
74	957	1595
75	969	1582
76	981	1568
77	995	1556
78	1010	1547
79	1022	1534
80	1035	1521
81	1048	1508
82	1061	1496
83	1074	1484
84	1087	1471
85	1100	1458
86	1112	1445
87	1125	1432
88	1138	1419
89	1150	1406
90	1163	1394
91	1176	1381
92	1189	1368
93	1202	1356
94	1216	1344
95	1228	1331
96	1241	1318
97	1254	1305
98	1266	1292
99	1279	1279
100	1294	1268
101	1311	1260
102	1335	1257
103	1348	1244
104	1360	1230
105	1371	1216
106	1382	1201
107	1394	1187
108	1405	1173
109	1417	1159
110	1428	1145
111	1440	1131
112	1452	1118
113	1464	1104
114	1477	1091
115	1490	1079
116	1501	1065
117	1513	1052
118	1525	1038
119	1537	1024
120	1549	1011
121	1560	997
122	1572	984
123	1583	970
124	1595	957
125	1606	943
126	1618	930
127	1630	916
128	1642	903
129	1654	890
130	1665	877
131	1678	864
132	1689	851
133	1702	838
134	1714	825
135	1725	812
136	1736	798
137	1748	785
138	1759	772
139	1771	759
140	1782	745
141	1794	733
142	1806	720
143	1818	707
144	1829	693
145	1841	680
146	1852	667
147	1863	654
148	1875	641
149	1886	628
150	1896	615
151	1909	602
152	1920	589
153	1932	577
154	1943	564
155	1955	551
156	1966	538
157	1979	526
158	1991	513
159	2002	500
160	2014	487
161	2026	475
162	2039	462
163	2052	450
164	2064	437
165	2077	425
166	2090	413
167	2102	400
168	2115	387
169	2126	375
170	2138	362
171	2151	350
172	2161	337
173	2173	324
174	2184	312
175	2196	299
176	2209	287
177	2222	274
178	2234	262
179	2247	249
180	2258	237
181	2271	224
182	2282	212
183	2293	199
184	2305	186
185	2327	175
186	2346	163
187	2358	150
188	2369	137
189	2381	125
190	2392	112
191	2403	100
192	2414	87
193	2426	75
194	2438	62
195	2451	50
196	2465	37
197	2476	25
198	2488	12
199	2501	0
